;0
53;Augrund der Corona Situation wird die Nutzung der Halle zur Zeit leider nicht möglich sein. Sobald sie wieder zur Verfügung gestellt wird, wird dieser Kurs wieder stattfinden.In diesem Kompaktkurs wird die Wirkungsweise der wichtigsten ätherischen Öle und ihre praktischen Anwendungsmöglichkeiten vorgestellt.Natürliche, ätherische Öle beeinflussen allein durch dieWahrnehmung ihres Duftes über die Ausschüttung vonBotenstoffen im Gehirn unsere Stimmungen und unsere geistige Präsenz.So wirken einige Öle beruhigend, entspannend und ausgleichend, andere antidepressiv bis euphorisierend, weitere konzentrationsfördernd, wieder andere anregend und motivierend.Zusätzlich bewirken viele ätherische Öle - äußerlich angewendet - eine lokale Muskelentspannung und eineerhöhte Durchblutung, was sie zu optimalen Begleitern jeder Massage macht.Da im Kurs die klassische Aroma-Massage vorgeführt und von allen TeilnehmerInnen praktisch nachvollzogenwird, sollten eine Isomatte und ein großes Handtuch mitgebracht werden.Schreibzeug ist ebenfalls nützlich zum Notieren vieler kleiner Tipps!Die Anmeldung erfolgt direkt vor der Veranstaltung bei der Kursleiterin.
54;"(Bauch, Oberschenkel, Po)Sind eure Problemzonen Po und Hüfte? Möchtet ihreuren Beinmuskeln mehr Schliff geben? Wollt ihr euren Bauch trainieren? Dann seidihr„readytoworkout“. Zwarsind starke Muskeln die beste Diät, weil durch sie derGrundumsatzsteigt, doch denkt daran, dass ihr dieFettpölsterchen nur durch weniger intensives,dafüraber umfangreicheres Trainingschmelzen lassen könnt. Ergo: Das besteFigurtrainingist BOP kombiniert mit Fatburner.Denke auch daran, deine eigene Matte mitzubringen.2G+ Nachweispflicht ab SofortDas heißt, es dürfen nur teilnehmen:- immunisierte Personen (geimpft/genesen), diezusätzlichverfügen über- einenaktuell gültigen Testnachweis(Antigen-Schnelltest max. 24 Std. alt;PCR-Test max. 48 Std. alt).NEU!:Diezusätzliche Testpflicht (2G+) entfälltfür Personen, diezusätzlich zur vollständigen Grundimmunisierung geboostertoder in den letzten drei Monaten von einer Infektiongenesensind.Vor Kursbeginn sind die Teilnehmenden angehalten, den Nachweis zum Corona-Schutz-Status samt Personalausweis vorzulegen. Ohne Nachweis ist die Teilnahme nicht gestattet.------------- ACHTUNG: KOMMT CA. 10 MIN VOR KURSBEGINN! -----------------WER ZU SPÄT KOMMT, MUSS VON DER TEILNAHME LEIDER AUSGESCHLOSSEN WERDEN.Grund ist, dass nach Kursbeginn der Corona-Schutz-Status nicht mehr kontrolliert werden kann.Online-AnmeldungAufgrund der aktuellen Bedingungen müssen wir die Teilnehmerzahl für den Kurs reduzieren. Daher gibt es eine Online-Anmeldung;sie wird jeweils drei Stunden vor Kursbeginn eröffnet. Diese Anmeldung ist verbindlich! Bitte achtet darauf, pünktlich vor Ort zu erscheinen.TagBeginnEndeNiveauOrtBemerkungenAnmeldungKursausfälleDienstag19:0020:00Lochnerstr. 13Vorlesungszeit und vorlesungsfreie Zeithttps://anmeld…"
55;"Du hattest einen anstrengenden Tag, brauchst Entspannung für Körper und Seele,möchtest deine Beweglichkeit verbessern?Dann ist dieser Kurs genau das Richtige für dich!In diesem Kurs begegnest du verschiedenen Ansätzen wie Beweglichkeitstraining, Entspannungsübungen, Qi-Gong/Tai Chi Chuan und vielem mehr.Erfreue dich daran, deine persönliche Entwicklung zu beobachten.____________________________Denke auch daran, deine eigene Matte mitzubringen.2G+ Nachweispflicht ab SofortDas heißt, es dürfen nur teilnehmen:- immunisierte Personen (geimpft/genesen), diezusätzlichverfügen über- einenaktuell gültigen Testnachweis(Antigen-Schnelltest max. 24 Std. alt;PCR-Test max. 48 Std. alt).NEU!:Diezusätzliche Testpflicht (2G+) entfälltfür Personen, diezusätzlich zur vollständigen Grundimmunisierung geboostertoder in den letzten drei Monaten von einer Infektiongenesensind.Vor Kursbeginn sind die Teilnehmenden angehalten, den Nachweis zum Corona-Schutz-Status samt Personalausweis vorzulegen. Ohne Nachweis ist die Teilnahme nicht gestattet.------------- ACHTUNG: KOMMT CA. 10 MIN VOR KURSBEGINN! -----------------WER ZU SPÄT KOMMT, MUSS VON DER TEILNAHME LEIDER AUSGESCHLOSSEN WERDEN.Grund ist, dass nach Kursbeginn der Corona-Schutz-Status nicht mehr kontrolliert werden kann.Online-AnmeldungAufgrund der aktuellen Bedingungen müssen wir die Teilnehmerzahl für den Kurs reduzieren. Daher gibt es eine Online-Anmeldung;sie wird jeweils drei Stunden vor Kursbeginn eröffnet. Diese Anmeldung ist verbindlich! Bitte achtet darauf, pünktlich vor Ort zu erscheinen.TagBeginnEndeNiveauOrtBemerkungenAnmeldungKursausfälleMontag20:0022:00Lochnerstr. 13Vorlesungszeit und vorlesungsfreie Zeithttps://anmeld…"
56;„Ein starker Körper besitzt einen gesunden Geist!“ Einspezielles Reha-Angebot für Studierende, die nach Unfall-Verletzungen im Bereich des Hochschulsports zu ihrer alten Fitness zurückkehren wollen. Durch ein speziellabgestimmtes, von einem Spezialisten angeleitetes Training wird der Körper vor Verletzungen besser geschützt und schon vorhandene Verletzungen sowie deren Folgeschäden werden korrigiert.Weitere Infos unter: saeed@hochschulsport-koeln.de
57;Augrund der Corona Situation wird die Nutzung der Halle zur Zeit leider nicht möglich sein. Sobald sie wieder zur Verfügung gestellt wird, wird dieser Kurs wieder stattfinden.Das Autogene Training ist eine der bekanntesten und für jeden leicht erlernbare Entspannungsmethode, das nicht nur Stress und Ängste reduzieren hilft, sondern auch sehr wirkungsvoll dazu beitragen kann, die eigene Motivation, Konzentrations- und Leistungsfähigkeit (nicht nur, aber auch im Sport) zu steigern. Sehr empfehlenswert auch bei stressbedingten körperlichen Symptomen wie Einschlaf- und Durchschlafstörungen, Tinnitus, nervösen Magen-Darm-Beschwerden, nervös bedingten Hautleiden, Blutdruckabweichungen, nervösen Kopfschmerzen, Zähneknirschen, Erröten, Stottern, Schwitzen usw.In diesem Kurs wird das Autogene Training so vermittelt, dass jeder lernen kann, es auch in Stresssituationen (z.B. vor Prüfungen oder beim Zahnarzt) für sich zu nutzen, regelmäßiges Üben zuhause vorausgesetzt. Dennoch kann der Kurs auch einfach als angenehme Erholungspause vom Alltag dienen. Nach den ersten Sitzungen werden die Grundentspannungsübungen mit Fantasiereisen verknüpft, die eine Oase des Wohlfühlens und oft auch der Inspiration sind.Weiterhin wird vermittelt wie man in der Entspannung mit höchst wirkungsvollen persönlichen Affirmationen (positive Vorstellungen von Zielen, die wir erreichen wollen) arbeiten kann und wir somit unsere Persönlichkeit in Eigenregie weiterentwickeln können.Der Einstieg ist nur während der ersten zwei Semesterwochen möglich.
58;Augrund der Corona Situation wird die Nutzung der Halle zur Zeit leider nicht möglich sein. Sobald sie wieder zur Verfügung gestellt wird, wird dieser Kurs wieder stattfinden.Diese Variante von Power-Yoga soll Körper und Geist in Einklang bringen, Stress abbauen, den Körper entgiftenund zugleich dem Kraftaufbau und der Beweglichkeitsförderung dienen. Die Kombination von Atemtechniken und zugleich kraftspendenden wie entspannenden Übungen geben Energie und Ruhe und bereiten zugleich viel Spaß.
59;"Einführung in die Buteyko Atem MethodeNatürliches Atmen ist der Schlüssel für unsere Gesundheit, physische & psychische Leistungsfähigkeit und Wohlbefinden. Leider hat die moderne Gesellschaft die Fähigkeit verloren, gesund zu atmen, denndie meisten Menschen atmen übermässig viel, ohne dies wirklich wahrzunehmen. Wenn das Überatmen jedoch zur Gewohnheit wird, kommt es zu einem Sauerstoffmangel im Organismus mit negativen Auswirkungen auf die Gesundheit.Die Buteyko Methode ist eine wissenschaftlich fundierte Atem-Methode benannt nach Prof. Konstantin Buteyko, einem russischen Arzt und Wissenschaftler (1923 -2003). Dr. Buteyko erforschte den Einfluss von tiefer Atmung auf die Gesundheit und belegte, dass tiefes Atmen die Ursache von Zivilisationskrankheiten ist.Ziel dieses Kurses ist es, die einfachen Prinzipien und Praktiken der Buteyko Atem Methode zu erlernen, um eine gesunde, natuerliche Atmung zu kultivieren.Aktuell finden nur die Kurse mit Anmeldebutton statt! Die Anmeldung erfolgt online;sie wird jeweils drei Stunden vor Kursbeginn eröffnet. Diese Anmeldung ist verbindlich!_____________________________2G+ Nachweispflicht ab sofortBitte bring zum Kurs deinenStudierendenausweis(+falls darauf kein Bild vorhanden ist, einen weiterenLichtbildausweis) + denfolgenden Nachweismit:1.) 2G + Test2G:Du bistgeimpft odergenesenPlustagesaktueller Test.(Antigen-Schnelltest max. 24 Std. alt;PCR-Test max. 48 Std. alt).2.) Befreiung von der Testpflicht:Du bist befreit vom tagesaktuellen Test, wenn du:Alledrei Impfungenhast(„geboostert“)Oderinnerhalb derletzten drei Monatevon einer Infektiongenesenbist.________________ACHTUNG: BITTE KOMMT CA. 10 MIN VOR KURSBEGINN!WER ZU SPÄT KOMMT, MUSS VON DER TEILNAHME LEIDER AUSGESCHLOSSEN WERDEN.Grund ist, dass nach Kursbeginn der Corona-Schutz-Status nicht mehr kontrolliert werden kann.________________Wenn bei Kursen Matten benutzt werden, bringe bitte deineeigene Mattemit!TagBeginnEndeNiveauOrtBemerkungenAnmeldungKursausfälleDienstag19:0020:00Friedrich-Wilhelm-GymnasiumVorlesungszeit und vorlesungsfreie ZeitEingang über den Hof, Kurs findet in der Einfachhalle statt.https://anmeld…"
60;Augrund der Corona Situation wird die Nutzung der Halle zur Zeit leider nicht möglich sein. Sobald sie wieder zur Verfügung gestellt wird, wird dieser Kurs wieder stattfinden.In diesem Kurs finden pro Sitzung zwei Überraschungs-Fantasiereisen statt, die sich an eine geführte Entspannung anschließen. Vorerfahrungen mit Entspannungsmethoden wie Autogenem Training, Progressiver Muskelrelaxation nach Jakobson, Meditation oder Yoga sind hilfreich, aber nicht erforderlich.Die inneren Reisen haben reale und/oder fiktive Motive, reinen Erholungscharakter oder können inspirieren und zur inneren Selbsterforschung dienen, was jeder teilweise selbst mitbestimmen kann. Luzides Träumen wird durch regelmäßige Fantasiereisen gefördert (Hierbei ist man sich dessen bewusst, dass man träumt: Freiheit pur!), ebenso werden Kreativität, Selbsterkenntnis und -behauptung gesteigert.
61;"Dieser Kurs wird leider bis auf Weiteres ausfallen!Kreatives Hatha-Yoga arbeitet mit Körper, Atem und Geist. Es ermöglicht dir inneren Raum und Präsenz und ist ein optimaler Ausgleich zu Arbeit, Studium und Alltagsbeziehungen.Der Fokus liegt dabei auf dem Wechsel von Anspannung und Entspannung, dem Zusammenspiel von Atem und Bewegung, dem Erleben von Klang und Stille. Der Körper wird gestärkt und gedehnt. Körperliche, mentale und emotionale Präsenz, Achtsamkeit und Ausgeglichenheit werden gefördert. Ein Zustand „authentischen Kontakts-zu-mir-selbst“ kann erlebt werden.Die Grundlagen beinhalten einfache Körper- und Atemübungen, meditative Elemente und Tiefenentspannung. Ein Hauptfokus liegt dabei auf dem Üben des Sonnengrußes, der Einführung zentraler Körperhaltungen sowie auf grundlegenden Atem- und Meditationsmethoden. Keine Vorerfahrung nötig.Die Variationen beinhalten anspruchsvolle Körperstellungen, kreative Variationen des Sonnengrußes und weiterführende Meditations- und Atemtechniken. Der Kurs bietet die Möglichkeit, dich selbst auf einer tiefen Ebene zu erfahren und vom Alltag loszulassen. Vorerfahrung erbeten.Mitzubringen:bequeme Kleidung, falls vorhanden Matte/Sitzkissen, u.U. Handtuch und Wasser!Die regelmäßige Teilnahme ist erbeten und sehr empfohlen!Kreatives Hatha-Yoga ist Anspannung und Entspannung, Atem und Bewegung, Klang und Stille. Fühl dich von Herzen eingeladen und probier's aus! Einen kurzen visuellen Einblick erhältst du auch auf You-Tube!In den Fluren von Tajet Garden muss eine Maske getragen werden. Während des Kurses kann diese abgenommen werden.2G+ Nachweispflicht ab SofortDas heißt, es dürfen nur teilnehmen:- immunisierte Personen (geimpft/genesen), diezusätzlichverfügen über- einenaktuell gültigen Testnachweis(Antigen-Schnelltest max. 24 Std. alt;PCR-Test max. 48 Std. alt).NEU!:Diezusätzliche Testpflicht (2G+) entfälltfür Personen, diezusätzlich zur vollständigen Grundimmunisierung geboostertoder in den letzten drei Monaten von einer Infektiongenesensind.Vor Kursbeginn sind die Teilnehmenden angehalten, den Nachweis zum Corona-Schutz-Status samt Personalausweis vorzulegen. Ohne Nachweis ist die Teilnahme nicht gestattet.------------- ACHTUNG: KOMMT CA. 10 MIN VOR KURSBEGINN! -----------------WER ZU SPÄT KOMMT, MUSS VON DER TEILNAHME LEIDER AUSGESCHLOSSEN WERDEN.Grund ist, dass nach Kursbeginn der Corona-Schutz-Status nicht mehr kontrolliert werden kann.Aufgrund der aktuellen Bedingungen müssen wir die Teilnehmerzahl für den Kurs reduzieren. Daher gibt es eine Online-Anmeldung;sie wird jeweils drei Stunden vor Kursbeginn eröffnet. Diese Anmeldung ist verbindlich! Bitte achtet darauf, pünktlich vor Ort zu erscheinen."
62;Augrund der Corona Situation wird die Nutzung der Halle zur Zeit leider nicht möglich sein. Sobald sie wieder zur Verfügung gestellt wird, wird dieser Kurs wieder stattfinden.Das koreanische Yoga hat, wie das Land selbst, viele kulturelle Einflüsse erlebt. So beinhaltet diese Bewegungsform sowohl ganzheitliche Elemente aus Tai Chi, Qigongund der traditionellen chinesischen Medizin als auchdem Hatha-Yoga.Unkonventionelle, effektive Bewegungen und Haltepositionen sowie Atemtechnik und Meditation stärken den Körper und lassen den Geist zur Ruhe kommen. So ist körperliches und geistiges Wohlbefinden über kurz oder lang leicht erreichbar.
63;"Kundalini Yoga ist eine sehr alte unddynamische Yogaform aus Nordindien. Bewegung undRuhe, Atemtechnik und Meditation werden in ganzheitlicher Weise kombiniert und schaffen Harmonie von Körper, Seele und Geist. In diesem Einführungskurs werden die grundlegenden Techniken erlernt.Bitte bequeme Kleidung, Decke und Trinkwasser mitbringen.2G+ Nachweispflicht ab SofortDas heißt, es dürfen nur teilnehmen:- immunisierte Personen (geimpft/genesen), diezusätzlichverfügen über- einenaktuell gültigen Testnachweis(Antigen-Schnelltest max. 24 Std. alt;PCR-Test max. 48 Std. alt).NEU!:Diezusätzliche Testpflicht (2G+) entfälltfür Personen, diezusätzlich zur vollständigen Grundimmunisierung geboostertoder in den letzten drei Monaten von einer Infektiongenesensind.Vor Kursbeginn sind die Teilnehmenden angehalten, den Nachweis zum Corona-Schutz-Status samt Personalausweis vorzulegen. Ohne Nachweis ist die Teilnahme nicht gestattet.------------- ACHTUNG: KOMMT CA. 10 MIN VOR KURSBEGINN! -----------------WER ZU SPÄT KOMMT, MUSS VON DER TEILNAHME LEIDER AUSGESCHLOSSEN WERDEN.Grund ist, dass nach Kursbeginn der Corona-Schutz-Status nicht mehr kontrolliert werden kann.Online-AnmeldungAufgrund der aktuellen Bedingungen müssen wir die Teilnehmerzahl für den Kurs reduzieren. Daher gibt es eine Online-Anmeldung;sie wird jeweils drei Stunden vor Kursbeginn eröffnet. Diese Anmeldung ist verbindlich! Bitte achtet darauf, pünktlich vor Ort zu erscheinen.TagBeginnEndeNiveauOrtBemerkungenAnmeldungKursausfälleDienstag15:3017:00HumF (Sporthalle)nur VorlesungszeitBeginn: 09.11.2021https://anmeld…"
64;Augrund der Corona Situation wird die Nutzung der Halle zur Zeit leider nicht möglich sein. Sobald sie wieder zur Verfügung gestellt wird, wird dieser Kurs wieder stattfinden.Das Lachyoga kommt aus Indien und ist nun mittlerweile auch nach Deutschland geschwappt. ,,Lachen ohne Grund“ lautet der Leitspruch des indischen Arztes Dr. Madan Kataria, der das Lachyoga 1995 erfand. Er kombinierte Atemübungen aus dem Yoga mit pantomimischen, teils dynamischen Auflockerungsübungen. Diese sollen langsam an das Lachen heranführen und einen freieren Zugang zu dem eigenen Lachen schaffen. Dabei werden nicht nur Gelassenheit und Kreativität gefördert, sondern im besten Fall auch eine lang anhaltende positive Grundstimmung, die ihr mit nach Hause nehmt.Jeder ist herzlich willkommen: Anfänger, Fortgeschrittene und vor allem Neugierige, die sich auf etwas Neues einlassen wollen. Kurz: alle, die Lust haben, sich vor Lachen nicht mehr halten zu können - ganz nach dem Motto des Begründers: ,,Fake it, until you make it!!!Bitte denkt an bequeme Kleidung und bringt unbedingt Wasser mit. Der Einstieg ist jederzeit möglich.
65;Augrund der Corona Situation wird die Nutzung der Halle zur Zeit leider nicht möglich sein. Sobald sie wieder zur Verfügung gestellt wird, wird dieser Kurs wieder stattfinden.In diesem eintägigen Grundkurs werden in Form eines Kompaktkursesfolgende Massagetechniken und -kenntnisse vermittelt:-Anatomische Grundlagen-Einführung in die Massagetechniken-Spezielle Massagetechniken für Rücken, Gesicht und ExtremitätenMitzubringen ist ein großes Handtuch, Massageöl und eine lockere kurze Hose!
66;Augrund der Corona Situation wird die Nutzung der Halle zur Zeit leider nicht möglich sein. Sobald sie wieder zur Verfügung gestellt wird, wird dieser Kurs wieder stattfinden.Aus Sicht des Kundalini YogaMeditieren lernen – zur Stressvermeidung und PrüfungsvorbereitungDie alte nordindische Tradition des Kundalini-Yoga beinhaltet neben ihren spirituellen Techniken auch eine Vielzahl von effektiven Meditationsübungen, die auf ganzpraktische Zwecke ausgerichtet sind: Ängste, Muster und Blockaden können geklärt, Mut, Selbstvertrauen, Gelassenheit und kognitive Fähigkeiten aufgebaut werden.In diesem Einführungskurs lernen wir, eigenständig zu meditieren und bestimmte Techniken für uns selbst gezielt anwenden zu können.Bitte bequeme Kleidung, eine Decke und etwas zum Trinken mitbringen.
67;Augrund der Corona Situation wird die Nutzung der Halle zur Zeit leider nicht möglich sein. Sobald sie wieder zur Verfügung gestellt wird, wird dieser Kurs wieder stattfinden.Kundalini Yoga Meditation und Sat Nam Rasayan PraxisKundalini-Yoga Meditation und yogisches Heilen -Ein Einstieg in die Praxis der MeditationDurch effektive Übungen des Kundalini-Yoga und des yogischen Heilens kann eine meditative Erfahrung von allen TeilnehmerInnen schon nach kurzer Übungszeit gewonnen werden. Die vielfältigen Meditationstechniken dienen nicht nur der Ruhe und Entspannung, sondern können auch ganz lebenspraktisch im Alltag angewandt werden.Sat Nam Rasayan ist eine meditative Heilkunst aus dem alten Tibet, die mithilfe von Kontemplation sanft die inneren energetischen Blockaden und Verspannungen auflöst und wie ein Wunder stressfrei macht.Vorkenntnisse sind nicht erforderlich.Der Kurs dient auch der Vertiefung des Kurses „Meditation und Stressbewältigung“.
68;Augrund der Corona Situation wird die Nutzung der Halle zur Zeit leider nicht möglich sein. Sobald sie wieder zur Verfügung gestellt wird, wird dieser Kurs wieder stattfinden.Jedem Handeln oder Nichthandeln liegt immer einementale Struktur zu Grunde. Wir legen uns innerlichein Bild zurecht und bewerten einzelne mögliche Kriterienauf Grund unserer Erfahrung oder Fantasie. Dies istdie Basis für unsere Entscheidung, was zu tun oder zu unterlassen ist.Mentaltraining wird angewandt, damit mögliche innere Muster ins Vollbewusstsein rücken können und bewertet werden kann, ob sie nützlich oder hinderlich in Bezug auf eine besondere Zielsetzung sind.Nach dieser Beurteilung können gegebenenfalls neuementale Impulse gesetzt werden, die einer derzeitigen Zielsetzung hilfreicher als bisherige Muster sein sollen.Techniken der Entspannung, der Visualisierung, der Bewusstwerdung und der Zentrierung sind Arbeitsmittel des Mentaltrainings.
69;Augrund der Corona Situation wird die Nutzung der Halle zur Zeit leider nicht möglich sein. Sobald sie wieder zur Verfügung gestellt wird, wird dieser Kurs wieder stattfinden.In diesem Kurs lernen wir viele Techniken und Hintergründe kennen, die uns helfen, unseren eigenen Energie-Rhythmus zu optimieren. Durch einfach anwendbare Übungen und Praktiken aus den verschiedensten Bereichen (u.a. Yoga, Chakra-Energie-Arbeit, Atemtherapie, Meditation, Akkupressur, Aromatherapie, Edelsteintherapie, Klang-Arbeit, Autosuggestion) finden wir Zugang zu unseren inneren Kraftquellen, lernen Ressourcen zu bilden und bei Bedarf zu aktivieren und erfahren hierdurch eine Steigerung von Leistung, Konzentrationsfähigkeit und Lebensfreude. Durch gesteigerte Aufmerksamkeit bezüglich unserer Energiequellen und auch unserer Energieräuber wirken wir Stress entgegen und beugen Krankheiten vor.Mitzubringen sind bequeme Kleidung und gegebenenfalls Schreibzeug für Notizen.
70;"Yoga ist ein traditioneller Weg aus der alten indischen Philosophie, der u. a. körperliche Funktionalität, bewusstes Atmen und Meditationstechniken fokussiert.Dieser Kurs bietet dir variationsreiche Dehn-, Atem- und Meditationsübungen, die wir intensiv ausführen. Einsteiger und Fortgeschrittene sind gleichermaßen willkommen, denn die Übungen werden ausführlich angeleitet und erlauben ein Durchführen in unterschiedlichen Komplexitäts- und Intensitätsstufen.Neben bequemer Kleidung undeiner eigenen Matteempfiehlt sich das Mitbringen folgender Hilfsmittel:Yogablock (alternativ ein dickes Kissen oder Buch)Gurt (alternativ ein Gürtel oder mittelgroßes Handtuch)______________2G+ Nachweispflicht ab SofortDas heißt, es dürfen nur teilnehmen:- immunisierte Personen (geimpft/genesen), diezusätzlichverfügen über- einenaktuell gültigen Testnachweis(Antigen-Schnelltest max. 24 Std. alt;PCR-Test max. 48 Std. alt).NEU!:Diezusätzliche Testpflicht (2G+) entfälltfür Personen, diezusätzlich zur vollständigen Grundimmunisierung geboostertoder in den letzten drei Monaten von einer Infektiongenesensind.Vor Kursbeginn sind die Teilnehmenden angehalten, den Nachweis zum Corona-Schutz-Status samt Personalausweis vorzulegen. Ohne Nachweis ist die Teilnahme nicht gestattet.------------- ACHTUNG: KOMMT CA. 10 MIN VOR KURSBEGINN! -----------------WER ZU SPÄT KOMMT, MUSS VON DER TEILNAHME LEIDER AUSGESCHLOSSEN WERDEN.Grund ist, dass nach Kursbeginn der Corona-Schutz-Status nicht mehr kontrolliert werden kann.Online-AnmeldungAufgrund der aktuellen Bedingungen müssen wir die Teilnehmerzahl für den Kurs reduzieren. Daher gibt es eine Online-Anmeldung;sie wird jeweils drei Stunden vor Kursbeginn eröffnet. Diese Anmeldung ist verbindlich! Bitte achtet darauf, pünktlich vor Ort zu erscheinen.TagBeginnEndeNiveauOrtBemerkungenAnmeldungKursausfälleDienstag19:4521:00HumF (Sporthalle)Vorlesungszeit und vorlesungsfreie Zeithttps://anmeld…"
71;Augrund der Corona Situation wird die Nutzung der Halle zur Zeit leider nicht möglich sein. Sobald sie wieder zur Verfügung gestellt wird, wird dieser Kurs wieder stattfinden.Qi Gong ist eine ganzheitlich orientierte Energiearbeit,deren Wurzeln in Asien zu finden sind. Ziel ist das Erreichen einer Harmonisierung zwischen den polaren Kräften,eine Vitalisierung, Stärkung und Balance für eine bessereGesundheit sowohl auf körperlicher als auch geistig-seelischer Ebene.Die Kurse führen Körper, Atmung und Denken sinnvoll zusammen, sodass der Körper sanft gefordert und trainiert wird und das Denken über die Konzentration ausgerichtet, reduziert und beruhigt werden kann, damit dann, in der meditativen Phase, eine wertungsfreie und unfixierte Entfaltung möglich ist.
72;Augrund der Corona Situation wird die Nutzung der Halle zur Zeit leider nicht möglich sein. Sobald sie wieder zur Verfügung gestellt wird, wird dieser Kurs wieder stattfinden.Mangelnde oder einseitige Bewegungen wirken sichnegativ auf die Rückenmuskulatur aus. Die Folgen sindRückenschmerzen und Verspannungen. Dieser Kurs hilft,die Muskulatur zu kräftigen und zu stabilisieren, um soRückenbeschwerden vorzubeugen und ggfs. abzubauen.Bei bestehenden Beschwerden oder Unsicherheiten bittevorher mit dem Kursleiter sprechen!Wichtig: Seid bitte bereits eine Viertelstunde vor Kursbeginn da.
73;Augrund der Corona Situation wird die Nutzung der Halle zur Zeit leider nicht möglich sein. Sobald sie wieder zur Verfügung gestellt wird, wird dieser Kurs wieder stattfinden.Nach einem kurzen Aufwärmen und Konditionstrainingerfolgt eine gezielte Kräftigung der Rumpfmuskulatur(Rücken-, Bauch-, Gesäß- und Schultermuskulatur).Anschließend wird ein ausgiebiges Dehnprogramm zum Ausgleich von einseitigen Belastungen und zur Verbesserung der Beweglichkeit durchgeführt. Sinnvoll ist eine möglichst regelmäßige Teilnahme. Ein eigenes Therabandsowie vor allem Handtuch und Isomatte sind von Vorteil.Wichtig: Seid bitte bereits eine Viertelstunde vor Kursbeginn da.
74;Augrund der Corona Situation wird die Nutzung der Halle zur Zeit leider nicht möglich sein. Sobald sie wieder zur Verfügung gestellt wird, wird dieser Kurs wieder stattfinden.In diesem auf Prävention angelegten Kurs werden funktionelle Übungen für Dehnung, Mobilisation, Stabilisationund Kräftigung der Wirbelsäule einschließlich der dazugehörigen Muskelgruppen vorgestellt. Atemübungen undTechniken der Entspannung ergänzen das Programm.Wichtig:Handtuch und Isomatte nicht vergessen!Wichtig: Seid bitte bereits eine Viertelstunde vor Kursbeginn da.
75;Augrund der Corona Situation wird die Nutzung der Halle zur Zeit leider nicht möglich sein. Sobald sie wieder zur Verfügung gestellt wird, wird dieser Kurs wieder stattfinden.Kurs 1Der Tai Chi Chuan-Übende verbindet durch raumgreifende, langsame, entspannt fließende Bewegungsfolgen denKörper, die Atmung und die Vorstellungskraft bewusst miteinander. Innere Ausgeglichenheit und gesteigerte Vitalkraft, verbessertes Konzentrationsvermögen, die Aktivierung der Selbstheilungskräfte und ein höheresKörperbewusstsein sind nur einige von vielen wohltuenden Wirkungen regelmäßigen Trainings.Kurs 2Es werden die Grundhaltung, die dem Tai Chi Chuan zugrundeliegenden Prinzipien sowie eine kurze Form des Yang-Stils gelernt (10er Form). Des Weiteren wird ein Aufwärmprogramm vermittelt, welches u.a. die Shaolin-Mönche auch heute noch praktizieren (8-Brokate-Übungen).Kurs 3Anfänger erlernen die auch unter Kurs 1 vermittelten Inhalte, Teilnehmer mit Vorkenntnissen lernen darüber hinaus eine weitere Kurzform (16er Form) sowie erste Kenntnisse im Hinblick auf Tuishou (Partner-Taiji) und weitere Aufwärm- und Gesundheitsübungen.
76;Augrund der Corona Situation wird die Nutzung der Halle zur Zeit leider nicht möglich sein. Sobald sie wieder zur Verfügung gestellt wird, wird dieser Kurs wieder stattfinden.Die Übungsform, welche die Essenz des Qi Gong und Tàijíquan (Tai Chi Chuan) verbindet. Sie stärkt die Kräfte des Körpers und des Geistes in der Tradition der chinesischen Lebenskünste.Dieser Kurs spricht die verschiedenen fortgeschrittenen Niveaus an. Erfahrungen in Qi Gong und Tai Chi Chuan sind vorausgesetzt.Die Teilnehmerzahl ist begrenzt.
